blind_id,attack_type,environment_type,difficulty,narrative,attack_stages_and_techniques,stage_count
ADV-75866EA9B9,Ransomware,Healthcare,Medium,"An attacker is targeting a healthcare organization to deploy ransomware, starting with reconnaissance to identify potential vulnerabilities, followed by gaining initial access through phishing, and finally executing ransomware to encrypt sensitive data and demand a ransom.","1. Reconnaissance: T1595 Active Scanning, T1592 Gather Victim Identity Information | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1486 Data Encrypted for Impact",3
ADV-A68E462F83,Ransomware,Enterprise Network,Hard,"The Lazarus Group conducts a targeted ransomware attack on a telecommunications provider, focusing on data collection and exfiltration to disrupt services and demand a ransom. The attack leverages sophisticated techniques to maintain stealth while executing destructive actions against critical infrastructure.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment | 3. Execution: T1486 Data Encrypted for Impact | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel,4
ADV-B3497BB649,Insider Threat,Cloud Infrastructure,Hard,"An insider with privileged access to a cloud infrastructure begins to gather information on other employees and their activities, aiming to exploit vulnerabilities for personal gain.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1566 Phishing | 3. Execution: T1059 Command and Scripting Interpreter, T1041 Exfiltration Over Command and Control Channel | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",4
ADV-884BC4E303,Insider Threat,Cloud Infrastructure,Hard,"An insider threat actor with elevated privileges conducts a multi-stage attack on the cloud infrastructure, starting from reconnaissance to data exfiltration while using legitimate access to bypass security measures.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts | 3. Execution: T1059 Command and Scripting Interpreter | 4. Exfiltration: T1041 Exfiltration Over API",4
ADV-7DE4C3CBE2,APT,ICS,Medium,"Cozy Bear has launched a targeted attack on a water treatment facility, aiming to steal intellectual property related to water purification technologies. The campaign is characterized by low operational security and noisy tactics due to time pressure, focusing on quickly gaining initial access and harvesting credentials.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Link | 3. Credential Access: T1078 Valid Accounts, T1003 Credential Dumping | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel",4
ADV-FE4A4D361C,Ransomware,Enterprise Network,Hard,"APT41 launched a ransomware attack against a retail e-commerce platform, aiming to steal intellectual property while operating with low operational security. The attackers leveraged existing tools within the environment to evade detection and executed the attack in a time-pressured manner.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1036 Masquerading | 4. Impact: T1486 Data Encrypted for Impact",4
ADV-BF4DA2C54F,Insider Threat,ICS,Hard,The attack campaign begins with Mustang Panda leveraging insider access to gather intelligence on the manufacturing processes. The objective is to deploy ransomware that can extort sensitive information while maintaining a low noise profile during the attack.,1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078.001 Valid Accounts | 3. Persistence: T1547.001 Registry Run Keys / Startup Folder | 4. Command and Control: T1071.001 Application Layer Protocol: Web Protocols | 5. Exfiltration: T1041 Exfiltration Over Command and Control Channel,5
ADV-E64E13FB09,APT,Healthcare,Easy,"The Kimsuky threat actor targets a hospital emergency department to steal sensitive intellectual property related to medical research. Utilizing low operational security, they aim for a fast and noisy attack to achieve their objectives under time pressure.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1485 Data Destruction,4
ADV-4F472F820C,Ransomware,Healthcare,Hard,"A cybercriminal group targets a healthcare facility to deploy ransomware, exploiting vulnerabilities in the network and holding critical patient data hostage.","1. Reconnaissance: T1595 Active Scanning, T1046 Network Service Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1059 Command and Scripting Interpreter | 4. Persistence: T1136 Create Account, T1543 Create or Modify System Process | 5. Data Encrypted: T1486 Data Encrypted for Impact",5
ADV-EC8A96AE85,APT,Cloud Infrastructure,Medium,"An advanced persistent threat (APT) group targets a cloud infrastructure to exploit vulnerabilities and gain unauthorized access to sensitive data. The attack unfolds in multiple stages, starting with reconnaissance and culminating in data exfiltration.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1059 Command and Scripting Interpreter | 4. Persistence: T1053 Scheduled Task/Job | 5. Exfiltration: T1041 Exfiltration Over Command and Control Channel",5
ADV-B632365931,APT,Healthcare,Hard,"An advanced persistent threat group targets a healthcare organization to steal patient data and disrupt services. The attackers utilize sophisticated techniques to infiltrate the network, maintain persistence, and exfiltrate sensitive information over time.","1. Reconnaissance: T1595 Active Scanning, T1583 Acquire Infrastructure | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1059 Command and Scripting Interpreter | 4. Persistence: T1543 Create or Modify System Process, T1136 Create Account | 5. Privilege Escalation: T1068 exploitation of elevation of privilege vulnerabilities | 6. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",6
ADV-28AEA274A3,Phishing,Healthcare,Hard,"An attacker targets a healthcare organization using a phishing campaign to gain unauthorized access to sensitive patient data. The attack unfolds in multiple stages, starting with reconnaissance to gather information about potential targets, followed by initial access through a phishing email, and later stages involving credential harvesting and data exfiltration.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing | 3. Credential Access: T1078 Valid Accounts | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel,4
ADV-911F49D19E,Phishing,ICS,Easy,"An attacker targets an ICS environment using a phishing email to gain initial access. The attacker first conducts reconnaissance to identify potential victims within the organization, then utilizes a crafted email to deliver malicious content, ultimately gaining access to critical systems.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution",3
ADV-BE77E9945E,Phishing,Cloud Infrastructure,Easy,An attacker targets a cloud infrastructure environment using a phishing email to gain initial access and deploys malware for further exploitation.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1059 Command and Scripting Interpreter | 4. Persistence: T1136 Create Account",4
ADV-2FC797FDCB,Ransomware,Healthcare,Easy,"An attacker targets a healthcare organization, initiating a ransomware attack through careful reconnaissance and exploiting weak access controls before deploying the ransomware payload.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1486 Data Encrypted for Impact",4
ADV-1B39E5FAC2,Insider Threat,Enterprise Network,Medium,An employee with access to sensitive data begins to collect information on the company's security measures and exploits their access to siphon off data for personal gain.,"1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1041 Exfiltration Over Command and Control Channel | 3. Execution: T1059 Scripting, T1020 Automated Exfiltration",3
ADV-54F555CDE3,Insider Threat,ICS,Easy,"An insider at the ICS facility conducts reconnaissance to identify vulnerable systems, then gains initial access through social engineering, and finally escalates privileges to manipulate control systems.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Privilege Escalation: T1068 Execution with Unnecessary Privileges, T1134 Access Token Manipulation",3
ADV-944EB97AF7,Insider Threat,Healthcare,Hard,"An insider employee at a healthcare facility begins to gather information about patient records and system vulnerabilities, leading to unauthorized access and data exfiltration.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1071 Application Layer Protocol | 3. Execution: T1059 Command and Scripting Interpreter | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1567 Exfiltration Over Web Service",4
ADV-2C86ACB7C2,Ransomware,ICS,Hard,The Kimsuky group targets a water treatment facility to execute a ransomware attack through compromised supply chain software. Their objective is to deploy malicious software that disrupts operations and facilitates financial theft via business email compromise.,1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment | 3. Execution: T1203 Exploitation for Client Execution | 4. Data Encrypted: T1486 Data Encrypted for Impact,4
ADV-537B960BB1,Insider Threat,ICS,Easy,"Mustang Panda has infiltrated a water treatment facility through insider connections, aiming to steal sensitive intellectual property. The attackers leverage their insider knowledge to maintain a low profile while deploying persistent malware to harvest data over time.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Persistence: T1547.001 Registry Run Keys / Startup Folder,4
ADV-A85CFD78B3,Insider Threat,Cloud Infrastructure,Medium,"An insider employee with elevated access privileges uses their knowledge of the cloud infrastructure to exfiltrate sensitive data. The attack unfolds in multiple stages, starting with reconnaissance and culminating in data exfiltration.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1566 Phishing | 3. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1020 Automated Exfiltration",3
ADV-A94EA274FF,Phishing,Enterprise Network,Hard,"APT41 conducts a sophisticated phishing campaign targeting telecommunications firms to steal intellectual property. Utilizing their knowledge of the industry, they blend in with legitimate traffic and leverage existing tools to minimize detection.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link | 3. Credential Access: T1078 Valid Accounts | 4. Execution: T1059.001 Command and Scripting Interpreter: PowerShell,4
ADV-117803985B,Ransomware,Enterprise Network,Medium,The Lazarus Group targets a telecommunications provider to deploy ransomware and steal sensitive intellectual property. The campaign emphasizes stealth and persistence to maintain access over an extended period.,1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Spear Phishing Link | 3. Execution: T1203 Exploitation for Client Execution | 4. Persistence: T1547.001 Registry Run Keys / Startup Folder | 5. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel,5
ADV-748451A420,Ransomware,Cloud Infrastructure,Hard,"A sophisticated adversary targets a cloud infrastructure to deploy ransomware, leveraging advanced techniques to gain access and exfiltrate sensitive data before encryption occurs.","1. Reconnaissance: T1595 Active Scanning, T1590 Gather Victim Identity Information | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1059 Command-Line Interface | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol | 5. Impact: T1486 Data Encrypted for Impact",5
ADV-658E67D770,Phishing,ICS,Easy,An attacker targets an ICS environment through a phishing email to gain initial access and control over the system.,1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing | 3. Execution: T1203 Exploitation for Client Execution | 4. Credential Access: T1078 Valid Accounts,4
ADV-D169F3E5C9,Ransomware,Healthcare,Easy,"An attacker targets a healthcare organization by first gathering information about their network and employees, then exploiting weak credentials to gain access, and finally deploying ransomware to encrypt sensitive patient data, demanding a ransom for decryption keys.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1486 Data Encrypted for Impact",4
ADV-589193E08E,APT,ICS,Hard,"In this campaign, Cozy Bear targets the critical infrastructure of the power grid, leveraging cloud services to manipulate identities and access sensitive information. The attackers execute a fast-paced, noisy operation aimed at financial theft through business email compromise.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment | 3. Credential Access: T1078 Valid Accounts | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel,4
ADV-4739721DD4,Insider Threat,Healthcare,Medium,"A disgruntled healthcare employee exploits their access to sensitive patient data and systems, ultimately leading to data theft and potential exposure of confidential information.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1106 Execution using Native Tools | 3. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1020 Automated Exfiltration",3
ADV-688F54D5AD,Phishing,Enterprise Network,Medium,An attacker conducts a phishing campaign targeting employees in an enterprise network to gain initial access and exploit sensitive data.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Persistence: T1136 Create Account | 5. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel",5
ADV-DC24272123,APT,ICS,Easy,"APT41 targets a water treatment facility to disrupt critical infrastructure, leveraging initial access techniques for credential harvesting. This campaign aims to gain control over operational technologies and execute a destructive attack.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Spear Phishing Link, T1078 Valid Accounts | 3. Credential Access: T1003.001 OS Credential Dumping: LSASS Memory, T1110.001 Brute Force: Password Guessing | 4. Command and Control: T1071.001 Application Layer Protocol: Web Protocols, T1090 Proxy",4
ADV-D72EDCE81F,Ransomware,ICS,Hard,"An adversary targets an ICS environment to deploy ransomware, aiming to disrupt operations and extort the organization for a ransom payment. The attack progresses through reconnaissance, initial access, execution, and finally, data encryption stages.","1. Reconnaissance: T1595 Active Scanning, T1069 Permission Groups Discovery | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1059.001 PowerShell | 4. Lateral Movement: T1021 Remote Services, T1550.002 Pass the Hash | 5. Data Encryption: T1486 Data Encrypted for Impact, T1490 Inhibit System Recovery",5
ADV-C1A2F003FB,Ransomware,ICS,Medium,"APT35 conducts a slow and methodical ransomware campaign targeting critical infrastructure in the power grid sector, focusing on intellectual property theft. Utilizing advanced techniques, they aim to compromise domain accounts and move laterally within the network.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Spear Phishing Link | 3. Lateral Movement: T1078 Valid Accounts, T1021.002 Remote Services: RDP | 4. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel",4
ADV-C62AD7706B,Ransomware,ICS,Easy,"Charming Kitten targets a critical infrastructure power grid to exfiltrate sensitive data and deploy ransomware. The attack leverages social engineering tactics to gain initial access, followed by lateral movement to deploy a destructive payload.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Link | 3. Execution: T1203 Exploitation for Client Execution, T1059 Command and Scripting Interpreter | 4. Impact: T1486 Data Encrypted for Impact",4
ADV-729E3589A0,Ransomware,ICS,Medium,"An attacker targets an ICS environment, aiming to deploy ransomware that encrypts critical operational data and disrupts services. The attack involves multiple stages, starting from reconnaissance to execution of the ransomware payload.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1486 Data Encrypted for Impact",3
ADV-18C7BB3563,Phishing,Healthcare,Medium,"An attacker targets a healthcare organization to gain unauthorized access to sensitive patient data through a phishing campaign. The attacker conducts reconnaissance to gather information, deploys a phishing email to gain initial access, and then escalates privileges to access sensitive systems.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1566 Phishing, T1071 Application Layer Protocol | 3. Execution: T1203 Exploitation for Client Execution, T1059 Command and Scripting Interpreter | 4. Privilege Escalation: T1078 Valid Accounts, T1068 Exploitation for Privilege Escalation",4
ADV-BE4619ACAB,Phishing,ICS,Easy,An attacker targets an industrial control system by initially gathering information about the network and its personnel to craft a convincing phishing email that leads to credential theft and further access into the ICS environment.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts",2
ADV-C452614FB5,Insider Threat,Cloud Infrastructure,Easy,"In this campaign, Kimsuky targets a cloud-native SaaS startup to collect sensitive data through insider threats. Leveraging moderate operational security, they aim for a destructive attack on the startup's critical infrastructure.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link | 3. Execution: T1203 Exploitation for Client Execution | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel,4
ADV-2D2C035F32,APT,ICS,Hard,"An advanced persistent threat targeting an industrial control system seeks to disrupt operations and exfiltrate sensitive data over an extended period. The attackers utilize a multi-stage approach, starting from reconnaissance to establish a foothold within the network and ultimately compromising critical assets.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1059 Scripting, T1203 Exploitation for Client Execution | 4. Persistence: T1547 Boot or Logon Autostart Execution, T1136 Create Account | 5. Privilege Escalation: T1068 Exploitation for Privilege Escalation, T1200 Hardware Additions | 6. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",6
ADV-7D8CF074F1,APT,Enterprise Network,Easy,"The Lazarus Group targets a telecommunications provider to establish persistent access for long-term intelligence collection. Utilizing a high operational security approach, they conduct reconnaissance and deliver a destructive payload to disrupt services while maintaining low visibility.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1204.001 User Execution: Malicious Link | 4. Impact: T1485 Data Destruction, T1499 Endpoint Denial of Service",4
ADV-F44B46030C,Insider Threat,Enterprise Network,Hard,An employee with access to sensitive data begins to gather information about the network and its vulnerabilities. They subsequently exploit their access to gain further control and extract confidential data over a period of time.,1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078 Valid Accounts | 3. Privilege Escalation: T1068 Execution with Unnecessary Privileges | 4. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel,4
ADV-86D500B330,Phishing,Enterprise Network,Easy,An attacker targets an enterprise network through a phishing email campaign to gain initial access to sensitive systems and data.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Credential Access: T1110 Brute Force, T1552.001 Credentials In Files",3
ADV-49741AFCB0,Phishing,Healthcare,Medium,"APT28 conducts a phishing campaign targeting pharmaceutical companies to deliver a destructive payload aimed at supply chain poisoning. The sophisticated approach ensures stealth and patience, maximizing impact on downstream targets.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1485 Data Destruction,4
ADV-2D2E337E83,Phishing,ICS,Medium,"The Lazarus Group conducts a phishing campaign targeting employees of a water treatment facility, using deceptive emails to harvest credentials. This initial access is intended to facilitate a ransomware deployment to extort the organization.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Link | 3. Credential Access: T1078 Valid Accounts | 4. Execution: T1486 Data Encrypted for Impact",4
ADV-DC9B4AC07F,Ransomware,Healthcare,Easy,"APT41 targets a pharmaceutical company to gain access to sensitive data for espionage while leveraging ransomware to disrupt operations. Their approach involves active scanning for vulnerabilities and utilizing phishing methods to establish a foothold in the network, followed by data exfiltration.","1. Reconnaissance: T1595 Active Scanning, T1598 Phishing for Information | 2. Initial Access: T1566.001 Spear Phishing Link, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1486 Data Encrypted for Impact | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1020 Automated Exfiltration",4
ADV-F87C2B06AB,Insider Threat,Healthcare,Hard,An insider with privileged access to the healthcare system exploits their position to steal sensitive patient data for personal gain.,1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078 Valid Accounts | 3. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel,3
