seq_id,scenario_id,attack_type,environment,difficulty,narrative,attack_stages,techniques,n_stages
32,APT-CLOUD-001,APT,Cloud Infrastructure,Hard,"An advanced persistent threat actor targets a cloud infrastructure to gain access to sensitive data by executing a multi-stage attack involving reconnaissance, initial access, and lateral movement.",Reconnaissance → Initial Access → Lateral Movement,T1595 | T1046 | T1592 | T1566 | T1078,3
33,ICS-Phishing-Attack-001,Phishing,ICS,Medium,"An attacker initiates a phishing campaign targeting employees of an ICS facility to gain initial access to critical systems. The attack progresses through reconnaissance, initial access, and command a...",Reconnaissance → Initial Access → Command and Control,T1595 | T1566 | T1078 | T1041,3
34,MUSTANG_PANDA_PHASE_1,Phishing,Enterprise Network,Medium,"Mustang Panda conducts a targeted phishing campaign against a law firm to gain initial access to sensitive client data. Utilizing cloud service abuse tactics, the threat actor aims to manipulate ident...",Reconnaissance → Initial Access → Credential Access → Exfiltration,T1595 | T1566.001 | T1078 | T1041,4
35,APT35-Phishing-001,Phishing,ICS,Medium,"APT35 conducts a targeted phishing campaign against employees in the automotive supply chain, aiming to gain persistent access to sensitive cloud resources. By leveraging identity manipulation techniq...",Reconnaissance → Initial Access → Credential Access → Persistence,T1595 | T1566.001 | T1566.002 | T1078 | T1078.001,4
36,APT28-Insider-Threat-Ransomware,Insider Threat,Enterprise Network,Hard,"APT28 conducts a slow and methodical insider threat campaign within a media organization, leveraging carefully crafted phishing emails to gain initial access. Their goal is to deploy ransomware to ext...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1566.001 | T1203 | T1486,4
37,KIMSUKY_RANSOMWARE_001,Ransomware,Enterprise Network,Easy,"Kimsuky targets a military contractor through a series of phishing emails designed to harvest credentials, leading to unauthorized access to the organization's cloud services. Once inside, they deploy...",Reconnaissance → Initial Access → Credential Access → Exfiltration and Impact,T1595 | T1566.001 | T1078 | T1041 | T1486,4
38,HCL-IT-2023-001,Insider Threat,Healthcare,Hard,An employee with access to sensitive patient data begins to exploit their privileges to extract confidential information for personal gain. The attack unfolds through a series of calculated steps to a...,Reconnaissance → Initial Access → Data Exfiltration,T1595 | T1078 | T1041 | T1567,3
39,phishing-cloud-001,Phishing,Cloud Infrastructure,Easy,An attacker targets a cloud infrastructure provider by sending a phishing email to gain access to sensitive information.,Reconnaissance → Initial Access → Credential Access → Persistence,T1595 | T1566 | T1078 | T1056 | T1136,4
40,phishing-healthcare-001,Phishing,Healthcare,Easy,An attacker targets a healthcare organization by using phishing emails to gain initial access and subsequently exploits the environment to exfiltrate sensitive patient data.,Reconnaissance → Initial Access → Execution → Exfiltration,T1595 | T1087 | T1566 | T1078 | T1203,4
41,healthcare-phishing-attack-001,Phishing,Healthcare,Hard,"An advanced persistent threat actor targets a healthcare organization through a series of coordinated phishing attacks, aiming to gain unauthorized access to sensitive patient data and systems.",Reconnaissance → Initial Access → Credential Access → Exfiltration,T1595 | T1087 | T1566 | T1071 | T1078,4
42,Kimsuky-HigherEd-APT-001,APT,Enterprise Network,Hard,"Kimsuky conducted a campaign targeting higher education institutions to compromise supply chains and gather intelligence. By leveraging social engineering tactics, they managed to infiltrate critical ...",Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1566.001 | T1203 | T1547.001,4
43,healthcare_ransomware_attack_001,Ransomware,Healthcare,Medium,"An attacker targets a healthcare organization to deploy ransomware, starting with reconnaissance to gather information about the network and personnel, followed by initial access through phishing. Onc...",Reconnaissance → Initial Access → Execution → Privilege Escalation → Impact,T1595 | T1566 | T1203 | T1078 | T1486,5
44,healthcare_ransomware_attack_01,Ransomware,Healthcare,Hard,"An advanced persistent threat group targets a healthcare organization, exploiting vulnerabilities in their network to deploy ransomware and encrypt sensitive patient data, demanding a ransom for decry...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1046 | T1566 | T1078 | T1486,4
45,mustang_panda_ransomware_media_broadcasting,Ransomware,Enterprise Network,Hard,"Mustang Panda targets a media broadcasting company to execute a ransomware attack, aiming to disrupt critical infrastructure. The campaign is characterized by fast-paced lateral movement and noisy det...",Reconnaissance → Initial Access → Lateral Movement → Impact,T1595 | T1566.001 | T1078 | T1021.001 | T1486,4
46,APT35_Telco_Destructive_001,APT,Enterprise Network,Medium,"APT35 targets a telecommunications provider to disrupt critical infrastructure services. Utilizing a series of precise techniques, they aim to establish a persistent presence for long-term espionage w...",Reconnaissance → Initial Access → Persistence → Command and Control,T1595 | T1566.001 | T1078 | T1050 | T1543.003,4
47,APT35_001,Insider Threat,Enterprise Network,Medium,"In this scenario, Charming Kitten targets a financial services company to gather sensitive intellectual property. Leveraging an insider, they meticulously collect and stage valuable data for exfiltrat...",Reconnaissance → Initial Access → Data Collection → Exfiltration,T1595 | T1583 | T1566.001 | T1078 | T1005,4
48,ransomware_attack_001,Ransomware,Enterprise Network,Hard,"An advanced persistent threat actor conducts a multi-stage ransomware attack on an enterprise network, employing reconnaissance, initial access, execution, and data encryption stages to achieve their ...",Reconnaissance → Initial Access → Execution → Data Encryption,T1595 | T1592 | T1566 | T1078 | T1059,4
49,SANDWORM-RETAIL-INSIDER-001,Insider Threat,Enterprise Network,Hard,"In a destructive campaign targeting a retail e-commerce platform, a disgruntled insider leverages their access to collect sensitive customer data and initiate a staged exfiltration process. The rapid ...",Reconnaissance → Initial Access → Data Collection → Exfiltration,T1595 | T1078 | T1119 | T1041 | T1566.001,4
50,LZ-2023-001,Phishing,Enterprise Network,Easy,"The Lazarus Group launches a phishing campaign targeting government contractors to facilitate supply chain poisoning. By leveraging compromised credentials and lateral movement techniques, they aim to...",Reconnaissance → Initial Access → Credential Access → Lateral Movement,T1595 | T1566.001 | T1078 | T1021.001 | T1550.002,4
51,APT-001,APT,Cloud Infrastructure,Easy,"An adversary targets a cloud infrastructure environment to gain unauthorized access and exfiltrate sensitive data over a series of stages, beginning with reconnaissance and culminating in data exfiltr...",Reconnaissance → Initial Access → Execution → Exfiltration,T1595 | T1087 | T1566 | T1078 | T1059,4
52,Lazarus_Telecom_Ransomware_001,Ransomware,Enterprise Network,Easy,"The Lazarus Group targets a telecommunications provider to deploy ransomware, aiming for persistent access to sensitive data. Initial access is gained through phishing and credential harvesting to fac...",Reconnaissance → Initial Access → Credential Access → Execution,T1595 | T1566.001 | T1078 | T1110.001 | T1203,4
53,APT28-ICS-001,Insider Threat,ICS,Medium,"APT28 targets critical infrastructure networks, leveraging insider access to gather sensitive information while remaining undetected. Their methodical approach allows them to manipulate ICS environmen...",Reconnaissance → Initial Access → Execution → Persistence → Impact,T1595 | T1566.001 | T1218.011 | T1059.001 | T1136,5
54,APT35-WaterTreatment-001,APT,ICS,Easy,APT35 targets a water treatment facility to exploit vulnerabilities in cloud services and manipulate identities. The objective is to disrupt critical infrastructure through a series of well-planned at...,Reconnaissance → Initial Access → Execution → Impact,T1595 | T1071.001 | T1566.001 | T1078 | T1203,4
55,insider-threat-cloud-001,Insider Threat,Cloud Infrastructure,Hard,"An insider threat actor, motivated by financial gain, leverages their access to cloud infrastructure to extract sensitive data and exfiltrate it for personal profit. The attack unfolds in multiple sta...",Reconnaissance → Initial Access → Execution → Exfiltration,T1595 | T1087 | T1078 | T1071 | T1059,4
56,lazarus_cloud_saas_espionage_001,APT,Cloud Infrastructure,Medium,"The Lazarus Group targets a cloud-native SaaS startup to steal intellectual property. They employ a series of stealthy reconnaissance and access techniques, leveraging an advanced persistent threat ap...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1566.001 | T1203 | T1485,4
57,ICS_Ransomware_Scenario_01,Ransomware,ICS,Easy,"An attacker targets an Industrial Control System by first scanning for vulnerabilities, then gains initial access through phishing, and finally deploys ransomware to encrypt critical data, demanding a...",Reconnaissance → Initial Access → Execution,T1595 | T1566 | T1078 | T1486,3
58,sandworm-insider-threat-water-ICS-001,Insider Threat,ICS,Easy,"Infiltrating a water treatment facility, the Sandworm threat actor exploits insider knowledge to navigate the ICS environment. Their objective is to manipulate the supply chain to disrupt downstream o...",Reconnaissance → Initial Access → Lateral Movement → Supply Chain Poisoning,T1595 | T1566.001 | T1078 | T1021.001 | T1210,4
59,PHISHING_CLOUD_001,Phishing,Cloud Infrastructure,Hard,An attacker targets a cloud service provider by conducting a sophisticated phishing campaign aimed at gaining access to user credentials and subsequently compromising cloud resources.,Reconnaissance → Initial Access → Credential Access → Execution,T1595 | T1566 | T1078 | T1059,4
60,healthcare_phishing_attack_001,Phishing,Healthcare,Hard,"An attacker targets a healthcare organization with a sophisticated phishing campaign, aiming to gain access to sensitive patient data. The attack involves multiple stages, starting with reconnaissance...",Reconnaissance → Initial Access → Credential Access → Exfiltration,T1595 | T1566 | T1078 | T1003 | T1041,4
61,APT29-ICS-Insider-01,Insider Threat,ICS,Easy,"In this attack campaign, Cozy Bear exploits insider access to inject malicious code into the water treatment facility's supply chain system. The objective is to disrupt operations and create downstrea...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1566.001 | T1203 | T1485,4
62,APT_Easy_001,APT,Enterprise Network,Easy,"An advanced persistent threat actor conducts a multi-stage attack targeting an enterprise network, starting from reconnaissance to gaining initial access and establishing persistence.",Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1566 | T1078 | T1059 | T1136,4
63,insider-threat-001,Insider Threat,Enterprise Network,Hard,An insider with access to sensitive data begins to gather information about the network structure and user accounts to facilitate data exfiltration and credential abuse.,Reconnaissance → Initial Access → Data Exfiltration,T1595 | T1087 | T1078 | T1566 | T1041,3
64,sandworm-ransomware-001,Ransomware,Cloud Infrastructure,Easy,"In this attack campaign, Sandworm targets a cloud-native SaaS startup to infiltrate their infrastructure, aiming to deploy ransomware by manipulating their supply chain. Utilizing moderate operational...",Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1566 | T1566.001 | T1059 | T1059.003,4
65,APT-Healthcare-01,APT,Healthcare,Medium,An advanced persistent threat group targets a healthcare organization to steal patient data and disrupt services through a series of coordinated attacks.,Reconnaissance → Initial Access → Execution → Persistence → Exfiltration,T1595 | T1566 | T1078 | T1203 | T1059,5
66,Lazarus_Supply_Chain_2023,APT,Enterprise Network,Medium,"The Lazarus Group undertakes a campaign to poison the supply chain of a military contractor, aiming to deliver destructive payloads to downstream targets. Their approach is characterized by low operat...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1566.001 | T1078 | T1203 | T1036,4
67,APT-ICS-001,APT,ICS,Hard,An advanced persistent threat targets an industrial control system to disrupt operations and gain unauthorized access to sensitive data.,Reconnaissance → Initial Access → Execution → Persistence → Command and Control → Exfiltration,T1595 | T1083 | T1566 | T1203 | T1203,6
68,APT-Healthcare-001,APT,Healthcare,Easy,An advanced persistent threat targets a healthcare organization to steal sensitive patient data and disrupt services.,Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1566 | T1078 | T1059 | T1547,4
69,APT-ICS-001,APT,ICS,Hard,"An advanced persistent threat group targets an industrial control system to disrupt operations and steal sensitive information. The attack unfolds through multiple stages, starting with reconnaissance...",Reconnaissance → Initial Access → Execution → Persistence → Privilege Escalation → Credential Access → Lateral Movement → Data Exfiltration,T1595 | T1566 | T1078 | T1203 | T1059,8
70,healthcare_ransomware_attack_001,Ransomware,Healthcare,Medium,"An attacker targets a healthcare organization to encrypt sensitive patient data and demand a ransom for its release. The attack begins with reconnaissance to identify vulnerabilities in the network, f...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1566 | T1078 | T1203 | T1059,4
71,APT29_Phishing_Simulation_001,Phishing,Enterprise Network,Medium,APT29 conducts a sophisticated phishing campaign targeting government and defense contractors to gain persistent access. The threat actor employs stealthy techniques to evade detection while collectin...,Reconnaissance → Initial Access → Execution → Persistence → Defense Evasion,T1595 | T1566.001 | T1203 | T1078 | T1036,5
72,APT28-Ransomware-Retail-001,Ransomware,Enterprise Network,Hard,"APT28 targets a retail payment processing company to gain long-term access for intelligence collection. Utilizing sophisticated techniques, they manipulate identities and abuse cloud services to execu...",Reconnaissance → Initial Access → Credential Access → Execution,T1595 | T1566 | T1566.001 | T1078 | T1003,4
73,INSIDER-THREAT-ICS-001,Insider Threat,ICS,Easy,"An insider with legitimate access to the ICS environment conducts reconnaissance to identify potential vulnerabilities, then leverages their access to manipulate system settings for personal gain.",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1087 | T1078 | T1059 | T1499,4
74,APT29_InsiderThreat_Manufacturing_001,Insider Threat,ICS,Medium,"Cozy Bear exploits insider access within a manufacturing company to manipulate software updates in the supply chain. Their goal is to deploy ransomware that encrypts critical systems, demanding a rans...",Reconnaissance → Initial Access → Execution → Exfiltration,T1595 | T1078 | T1203 | T1566.001 | T1041,4
75,ICS-Phishing-001,Phishing,ICS,Easy,An attacker conducts a phishing campaign targeting employees within an Industrial Control System (ICS) environment to gain unauthorized access to critical systems.,Reconnaissance → Initial Access,T1595 | T1583 | T1566 | T1078,2
76,mustang_panda_pharma_ransomware_001,Ransomware,Healthcare,Easy,"The Mustang Panda threat actor targets the pharmaceutical industry to deploy ransomware, aiming for long-term access to sensitive data. Using a low operational security approach, they exploit vulnerab...",Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1566 | T1566.001 | T1203 | T1053,4
77,ICS-Phishing-001,Phishing,ICS,Easy,An attacker targets an ICS environment through a phishing email to gain initial access and control over the system.,Reconnaissance → Initial Access → Execution → Credential Access,T1595 | T1566 | T1203 | T1078,4
78,sandworm_ransomware_hospital_001,Ransomware,Healthcare,Easy,"The Sandworm group targets a hospital emergency department by deploying ransomware through compromised supply chain software. Utilizing low operational security, they leverage known vulnerabilities to...",Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1566.001 | T1203 | T1543.003,4
79,APT35-Ransomware-001,Ransomware,Enterprise Network,Medium,Charming Kitten launched a ransomware campaign targeting a government contractor by exploiting vulnerabilities in their supply chain. The attackers employed various techniques to ensure long-term pers...,Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1566.001 | T1203 | T1543.003,4
80,MUSTANG_PANDA_CLOUD_SAAS_001,Phishing,Cloud Infrastructure,Medium,Mustang Panda conducts a phishing campaign targeting employees of a cloud-native SaaS startup to steal intellectual property. The attackers utilize legitimate services and tools to blend in and evade ...,Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1566 | T1566.001 | T1078 | T1059,4
81,PHISH_CLOUD_001,Phishing,Cloud Infrastructure,Medium,"An attacker conducts a phishing campaign targeting employees within a cloud infrastructure environment, leading to credential theft and subsequent lateral movement within the organization’s cloud serv...",Reconnaissance → Initial Access → Credential Access → Lateral Movement,T1595 | T1592 | T1566 | T1071 | T1078,4
82,Sandworm-Telecom-Insider-001,Insider Threat,Enterprise Network,Easy,"The Sandworm group has infiltrated a telecommunications company through an insider threat, leveraging social engineering techniques to gain initial access. Their goal is to establish persistent access...",Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1566.001 | T1203 | T1547.001,4
83,APT_MustangPanda_Hospital_ED_001,APT,Healthcare,Medium,"Mustang Panda targets a hospital emergency department to deploy ransomware with the intent of extorting sensitive patient data. Utilizing a combination of reconnaissance and initial access techniques,...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1071.001 | T1566.001 | T1078 | T1203,4
84,insider-threat-cloud-001,Insider Threat,Cloud Infrastructure,Hard,An insider threat actor with legitimate access to the cloud infrastructure begins by gathering sensitive information about the cloud environment to exploit vulnerabilities for malicious purposes.,Reconnaissance → Initial Access → Execution → Exfiltration,T1595 | T1087 | T1078 | T1190 | T1059,4
85,APT_HC_001,APT,Healthcare,Medium,"An advanced persistent threat actor targets a healthcare organization to steal sensitive patient data and disrupt operations. The attack unfolds in multiple stages, starting with reconnaissance and cu...",Reconnaissance → Initial Access → Execution → Persistence → Exfiltration,T1595 | T1592 | T1566 | T1078 | T1203,5
86,phishing_attack_cloud_001,Phishing,Cloud Infrastructure,Hard,"An attacker targets a cloud infrastructure provider, using sophisticated phishing techniques to gain initial access and escalate privileges to exfiltrate sensitive data.",Reconnaissance → Initial Access → Execution → Persistence → Privilege Escalation → Exfiltration,T1595 | T1087 | T1566 | T1078 | T1203,6
87,MUSTANG_PANDA_RANSOMWARE_001,Ransomware,Enterprise Network,Hard,"In an effort to compromise legal firms and poison supply chains, Mustang Panda deploys a sophisticated ransomware campaign. Utilizing stealthy techniques, the threat actor establishes persistence with...",Reconnaissance → Initial Access → Persistence → Execution,T1595 | T1583 | T1566.001 | T1078 | T1547.001,4
88,Lazarus_Phishing_Critical_Infrastructure_001,Phishing,ICS,Easy,"The Lazarus Group conducts a patient and low-noise phishing campaign targeting employees in a power grid organization, aiming to gain access to sensitive intellectual property. They employ advanced ta...",Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1592 | T1566.001 | T1566.002 | T1203,4
89,APT28-Pharma-001,Phishing,Healthcare,Hard,"APT28 targets a pharmaceutical company through a phishing campaign, aiming to inject malicious code into the supply chain through compromised credentials. This campaign leverages living-off-the-land t...",Reconnaissance → Initial Access → Execution → Credential Access,T1595 | T1566.001 | T1059.001 | T1003.001,4
90,Kimsuky_Ransomware_ICS_001,Ransomware,ICS,Hard,Kimsuky orchestrates a sophisticated ransomware campaign targeting critical infrastructure by infiltrating cloud services and manipulating identities to poison the supply chain. Their high operational...,Reconnaissance → Initial Access → Execution → Impact,T1595 | T1566.001 | T1078 | T1203 | T1059.001,4
91,APT35-Ransomware-Telecom-2023,Ransomware,Enterprise Network,Medium,"The Charming Kitten group targets a telecommunications company to steal sensitive intellectual property. Using low operational security, they employ aggressive tactics to infiltrate the network and ex...",Reconnaissance → Initial Access → Execution → Exfiltration,T1595 | T1566.001 | T1078.001 | T1203 | T1059.001,4
92,mustang_panda_water_treatment_ics,Insider Threat,ICS,Medium,"Mustang Panda conducts a prolonged insider threat campaign targeting a water treatment facility to deploy ransomware for extortion. By leveraging supply chain vulnerabilities, they manipulate software...",Reconnaissance → Initial Access → Execution → Persistence,T1595 | T1195 | T1203 | T1071.001 | T1543.003,4
93,healthcare_ransomware_attack_001,Ransomware,Healthcare,Medium,"An attacker targets a healthcare institution to deploy ransomware, beginning with reconnaissance to identify vulnerabilities, followed by gaining initial access through a phishing attack, establishing...",Reconnaissance → Initial Access → Execution → Persistence → Data Encryption,T1595 | T1566 | T1203 | T1053 | T1486,5
94,APT35-Ransomware-2023,Ransomware,Cloud Infrastructure,Easy,"Charming Kitten targets a cloud-native SaaS startup to compromise its software supply chain, aiming to deploy ransomware that disrupts critical infrastructure. The threat actor uses stealthy technique...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1566.001 | T1203 | T1486,4
95,ICS-Insider-Threat-001,Insider Threat,ICS,Easy,"An insider with legitimate access to the ICS environment conducts a series of actions to exploit their position for malicious purposes, leading to unauthorized access and potential disruption of servi...",Reconnaissance → Initial Access → Execution → Impact,T1595 | T1078 | T1566 | T1203 | T1485,4
